130,-1,-1,1,名詞,一般,*,*,*,*,130,ヒャクサンジュウ,ヒャクサンジュウ,ひゃくさんじゅう
133枚,-1,-1,1,名詞,一般,*,*,*,*,133枚,ヒャクサンジュウサンマイ,ヒャクサンジュウサンマイ,ひゃくさんじゅうさんまい
13日,-1,-1,1,名詞,一般,*,*,*,*,13日,ジュウサンニチ,ジュウサンニチ,じゅうさんにち
13歳,-1,-1,1,名詞,一般,*,*,*,*,13歳,ジュウサンサイ,ジュウサンサイ,じゅうさんさい
140,-1,-1,1,名詞,一般,*,*,*,*,140,ヒャクヨンジュウ,ヒャクヨンジュウ,ひゃくよんじゅう
140年,-1,-1,1,名詞,一般,*,*,*,*,140年,ヒャクヨンジュウネン,ヒャクヨンジュウネン,ひゃくよんじゅうねん
14巻,-1,-1,1,名詞,一般,*,*,*,*,14巻,ジュウヨンカン,ジュウヨンカン,じゅうよんかん
14年,-1,-1,1,名詞,一般,*,*,*,*,14年,ジュウヨネン,ジュウヨネン,じゅうよねん
14日,-1,-1,1,名詞,一般,*,*,*,*,14日,ジュウヨッカ,ジュウヨッカ,じゅうよっか
15,-1,-1,1,名詞,一般,*,*,*,*,15,ジュウゴ,ジュウゴ,じゅうご
15分,-1,-1,1,名詞,一般,*,*,*,*,15分,ジュウゴフン,ジュウゴフン,じゅうごふん
15日,-1,-1,1,名詞,一般,*,*,*,*,15日,ジュウゴニチ,ジュウゴニチ,じゅうごにち
15時,-1,-1,1,名詞,一般,*,*,*,*,15時,ジュウゴジ,ジュウゴジ,じゅうごじ
15歳,-1,-1,1,名詞,一般,*,*,*,*,15歳,ジュウゴサイ,ジュウゴサイ,じゅうごさい
16,-1,-1,1,名詞,一般,*,*,*,*,16,ジュウロク,ジュウロク,じゅうろく
165,-1,-1,1,名詞,一般,*,*,*,*,165,ヒャクロクジュウゴ,ヒャクロクジュウゴ,ひゃくろくじゅうご
16:00,-1,-1,1,名詞,一般,*,*,*,*,16:00,ジュウヨジ,ジュウヨジ,じゅうよじ
16日,-1,-1,1,名詞,一般,*,*,*,*,16日,ジュウロクニチ,ジュウロクニチ,じゅうろくにち
16歳,-1,-1,1,名詞,一般,*,*,*,*,16歳,ジュウロクサイ,ジュウロクサイ,じゅうろくさい
